Fecha,Metal,Valor,Unidad,,
01-11-2017,Molibdeno,8.65,¢US/lb,,
01-11-2017,Inventarios,"273,675.00",TM,,
02-11-2017,Cobre,310.94,¢US/lb,,
02-11-2017,Oro,"1,276.40",US$/ozt,,
02-11-2017,Plata,17.08,US$/ozt,,
02-11-2017,Molibdeno,8.65,¢US/lb,,
02-11-2017,Inventarios,"273,850.00",TM,,
03-11-2017,Cobre,313.64,¢US/lb,,
03-11-2017,Oro,"1,275.30",US$/ozt,,
03-11-2017,Plata,17.09,US$/ozt,,
03-11-2017,Molibdeno,8.65,¢US/lb,,
03-11-2017,Inventarios,"270,400",TM,,
06-11-2017,Cobre,313.09,¢US/lb,,
06-11-2017,Oro,"1,271.60",US$/ozt,,
06-11-2017,Plata,16.92,US$/ozt,,
06-11-2017,Molibdeno,8.65,¢US/lb,,
06-11-2017,Inventarios,"268,450.00",TM,,
07-11-2017,Cobre,311.30,¢US/lb,,
07-11-2017,Oro,"1,276.35",US$/ozt,,
07-11-2017,Plata,17.01,US$/ozt,,
07-11-2017,Molibdeno,8.65,¢US/lb,,
07-11-2017,Inventarios,"267,650.00",TM,,
08-11-2017,Cobre,308.99,¢US/lb,,
08-11-2017,Oro,"1,282.25",US$/ozt,,
08-11-2017,Plata,17.00,US$/ozt,,
08-11-2017,Molibdeno,8.65,¢US/lb,,
08-11-2017,Inventarios,"263,425.00",TM,,
09-11-2017,Cobre,307.40,¢US/lb,,
09-11-2017,Oro,"1,284.00",US$/ozt,,
09-11-2017,Plata,17.10,US$/ozt,,
09-11-2017,Molibdeno,8.65,¢US/lb,,
09-11-2017,Inventarios,"259,725.00",TM,,
10-11-2017,Cobre,308.31,¢US/lb,,
10-11-2017,Oro,"1,284.45",US$/ozt,,
10-11-2017,Plata,17.00,US$/ozt,,
10-11-2017,Molibdeno,8.65,¢US/lb,,
10-11-2017,Inventarios,"260,150.00",TM,,
13-11-2017,Cobre,306.99,¢US/lb,,
13-11-2017,Oro,"1,278.40",US$/ozt,,
13-11-2017,Plata,16.93,US$/ozt,,
13-11-2017,Molibdeno,8.65,¢US/lb,,
13-11-2017,Inventarios,"258,275.00",TM,,
14-11-2017,Cobre,309.46,¢US/lb,,
14-11-2017,Oro,"1,273.70",US$/ozt,,
14-11-2017,Plata,16.94,US$/ozt,,
14-11-2017,Molibdeno,8.65,¢US/lb,,
14-11-2017,Inventarios,"258,800.00",TM,,
15-11-2017,Cobre,304.61,¢US/lb,,
15-11-2017,Oro,"1,285.70",US$/ozt,,
15-11-2017,Plata,17.12,US$/ozt,,
15-11-2017,Molibdeno,8.65,¢US/lb,,
15-11-2017,Inventarios,"255,450.00",TM,,
16-11-2017,Cobre,306.81,¢US/lb,,
16-11-2017,Oro,"1,277.70",US$/ozt,,
16-11-2017,Plata,17.04,US$/ozt,,
16-11-2017,Molibdeno,8.65,¢US/lb,,
16-11-2017,Inventarios,"251,550.00",TM,,
17-11-2017,Cobre,305.20,¢US/lb,,
17-11-2017,Oro,"1,283.85",US$/ozt,,
